sep=,
Id,Nama,Layer,Kind,Element,Bintang,Bentuk,Damage,Cooldown,Range,Radius,Mana,Hits,Forks,Bounces,BounceRange,Status,DurasiStatus,Poin,Aura,AuraValue,ElementMatchBonus,Stats,Trigger,TriggerStatus,TriggerPoints,KonsumsiPoinTrigger,MaxDetonations,ZoneDuration,ZoneTickInterval,ZoneDrift,TelegraphDelay,PushForce,LiftDuration,TravelSpeed,GrantOnCast,GrantOnKill,ConsumesCharge,DamagePerCharge,PunyaIkon,Blurb,DPS,ManaPerDetik
glacialspike,Glacial Spike,Skill,Projectile,Ice,2,KOTAK 2x2,22,1.1,9,0.9,2,1,1,3,6.5,CHILL,4,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Single target, and it hits like nothing else its size.",20,1.82
gravitywell,Gravity Well,Skill,AreaAtTarget,Arcane,2,HURUF T,26,3,11,4.5,5,1,1,0,6,DRAG,2,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Hauls the pack together. The setup every reaction wants.,8.67,1.67
greaterfireball,Greater Fireball,Skill,Projectile,Fire,2,KOTAK 2x2,82,1.05,8.5,0.9,2,1,1,0,6,BURN,5.5,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Far heavier than the bolt it came from, and no slower. Fills a 2x2 base exactly.",78.1,1.9
greaterheal,Greater Heal,Skill,Heal,Arcane,2,BENGKOK S,45,10,0,0,34,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. A real heal, but you wait a long time for it.",4.5,3.4
hailstorm,Hailstorm,Skill,AreaAtTarget,Ice,1,GARIS 2,12,2.6,11,3.6,3,1,1,0,6,CHILL,4,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Falls on the densest pack. Applies CHILL.,4.62,1.15
hujanapi,Fire Rain,Skill,AreaAtTarget,Fire,1,GARIS 2,12,2.4,11,3.4,2,1,1,0,6,BURN,4,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Rains fire onto the densest pack. Applies BURN.,5,0.83
icelance,Ice Lance,Skill,Line,Ice,1,SIKU,20,2.2,10,1,2,1,1,0,6,CHILL,3,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Skewers everything in a line. Applies CHILL.,9.09,0.91
infernowave,Inferno Wave,Skill,Line,Fire,2,HURUF T,34,2.1,11,1.6,4,1,1,0,6,BURN,4,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. A wall of fire, wide enough to catch a crowd.",16.19,1.9
ionstorm,Ion Storm,Skill,Zone,Lightning,3,SALIB,8,6,11,5,14,1,1,0,6,SHOCK,5,3,,0,0,,Cooldown,,10,yes,8,6,0.45,2.6,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Petak bermuatan yang berjalan pelan sendiri, terus menembak lama setelah kamu melemparkannya.",1.33,2.33
kubanganracun,Poison Pool,Skill,Zone,Arcane,1,SIKU,3,5,9,3,5,1,1,0,6,POISON,5,2,,0,0,,Cooldown,,10,yes,8,5,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Leaves a lingering pool. Applies POISON.,0.6,1
lepasamuk,Frenzy Release,Skill,AreaAtTarget,Fire,3,SUDUT V,18,3.4,11,5.5,8,1,1,0,6,BURN,5,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,FRENZY,0.55,yes,EVOLVED. MENGHABISKAN semua tumpukan FRENZY: +55% damage per tumpukan. Tidak akan menembak sama sekali kalau kamu belum mengumpulkan apa pun.,5.29,2.35
maelstrom,Maelstrom,Skill,Vortex,Lightning,5,BONGKAH,20,10,16,5.6,36,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,7,0.5,2.6,0.9,17,2.4,9,,,,0.35,yes,Badai yang menelan setengah lapangan. Apa pun yang sampai ke matanya menggantung tidak berdaya sampai badainya lewat.,2,3.6
manawell,Mana Well,Skill,Restore,Arcane,2,HURUF L,0,20,0,0,0,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"Mengisi mana sampai PENUH. Gratis, tapi menunggu sampai manamu tinggal di bawah 60% sebelum mau menyala.",,0
meteor,Meteor,Skill,AreaAtTarget,Fire,3,SALIB,54,3.2,11,5.5,8,1,1,0,6,BURN,6,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Falls out of the sky onto the densest pack. Applies BURN.,16.88,2.5
minorheal,Minor Heal,Skill,Heal,Arcane,1,TITIK,18,12,0,0,20,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,A small top-up on a long cooldown. One cell.,1.5,1.67
novakiamat,Doom Nova,Skill,Nova,Fire,4,HURUF C,72,4.2,9,9,13,1,1,0,6,BURN,8,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. The heaviest blast in the book. Applies BURN.,17.14,3.1
nullsphere,Null Sphere,Skill,Nova,Arcane,3,SUDUT V,40,3.4,6.5,6.5,8,1,1,0,6,BLEED,5,3,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Unmakes whatever stands too close. Applies BLEED.,11.76,2.35
plaguebloom,Plague Bloom,Skill,Zone,Arcane,3,SALIB,9,6,11,4.8,14,1,1,0,6,POISON,6,3,,0,0,,Cooldown,,10,yes,8,6,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. A spreading bloom of rot. The heaviest POISON there is.,1.5,2.33
plaguebrand,Plague Brand,Skill,AreaAtTarget,Arcane,1,GARIS 2,5,2.4,11,5.5,2,1,1,0,6,POISON,6,3,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Nyaris tidak melukai. Ia MENANDAI: POISON 3 poin ke gerombolan lebar. Nilainya baru muncul kalau ada yang menagih tanda itu.,2.08,0.83
plainrune,Plain Rune,Rune,Line,Arcane,1,BLOK 3x3,0,0.05,0,0,0,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"3x3. Alas polos tanpa buff, tapi luas banget.",,0
prismabeku,Frost Prism,Skill,Chain,Ice,3,CAWAN,92,2.4,9,9,6,5,1,0,6,CHILL,6,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Shattering ice, chaining through five enemies. Applies CHILL.",38.33,2.5
pusaran,Vortex,Skill,AreaAtTarget,Arcane,1,GARIS 3,12,3.2,10,4,3,1,1,0,6,DRAG,2.5,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Drags enemies together. Applies DRAG - the setup for mass reactions.,3.75,0.94
quickcastsigil,Quickcast,Skill,Surge,Arcane,2,HURUF T,0,13,0,0,24,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,Quickcast,,,0.35,yes,SEMUA skill di buku menembak 30% lebih sering selama 6 detik. Nilainya ikut sebesar apa pun isi papanmu.,,1.85
quickfoot,Fleetfoot,Skill,Surge,Arcane,1,GARIS 2,0,9,0,0,12,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,Quickfoot,,,0.35,yes,Kecepatan menghindar naik drastis selama 5 detik.,,1.33
ragnarok,Ragnarok,Skill,Line,Fire,4,TRISULA,230,3.6,14,2.4,11,1,1,0,6,BURN,6,3,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Splits the field end to end.,63.89,3.06
reckoning,Reckoning,Skill,Detonate,Arcane,4,HURUF Z,32,4.4,0,6,13,1,1,0,6,,0,1,,0,0,,Cooldown,BURN,10,yes,22,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Setiap musuh yang terbakar meledak sebesar tumpukan BURN-nya. Semakin dalam kamu membakar, semakin besar tagihannya.",7.27,2.95
riftchain,Rift Chain,Skill,Chain,Arcane,1,GARIS 2,15,2,8,8,2,3,1,0,6,BLEED,4,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Tears from enemy to enemy. Applies BLEED.,7.5,1
rimenova,Rime Nova,Skill,Nova,Ice,3,SALIB,32,3.2,7,7,8,1,1,0,6,CHILL,5,3,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Everything within seven metres freezes solid.,10,2.5
runearus,Current Rune,Rune,Line,Arcane,2,GARIS 3,0,1,0,0,0,1,1,0,6,,0,1,CooldownPct,0.35999998,0,ManaCostPct+0.15; MaxMana+20; MoveSpeed+0.5,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,3 long base. Cuts cooldowns and eases mana cost.,,0
runeasah,Whetstone Rune,Rune,AuraOnly,Arcane,2,GARIS 2,0,1,0,0,0,1,1,0,6,,0,1,DamagePct,0.5,0,CritChance+0.12; CritDamage+0.3,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,2 long base. The only base that sharpens critical hits.,,0
runebadai,Storm Rune,Rune,Line,Lightning,3,BLOK 3x3,0,1,0,0,0,1,1,0,6,,0,1,DamagePct,1.35,0.45,LightningDamagePct+0.25; AilmentPoints+1; CooldownPct+0.08,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"3x3 base. Huge damage aura, spread across nine cells.",,0
runebenteng,Bastion Rune,Rune,Line,Arcane,2,KOTAK 2x2,0,1,0,0,0,1,1,0,6,,0,1,,0,0,MaxHp+60; Defense+4,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,2x2 base. +60 max HP and +4 defence.,,0
runenadir,Nadir Rune,Rune,AuraOnly,Arcane,3,BLOK 3x3,0,1,0,0,0,1,1,0,6,,0,1,RadiusPct,1.2,0,RangePct+0.15; AreaPct+0.1,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"3x3 base. Enormous area aura, spread across nine cells.",,0
runesiphon,Siphon Rune,Rune,AuraOnly,Arcane,2,KOTAK 2x2,0,1,0,0,0,1,1,0,6,,0,1,CooldownPct,0.4,0,ManaRegen+3; ManaCostPct+0.12,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"2x2 base. Cuts cooldowns, feeds mana, and softens what casting costs.",,0
rupture,Rupture,Skill,Detonate,Arcane,3,CAWAN,15,3.6,0,4.6,9,1,1,0,6,,0,1,,0,0,,Cooldown,BLEED,10,yes,14,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Semua luka terbuka pecah sekaligus.,4.17,2.5
sabetanpetir,Lightning Slash,Skill,Line,Lightning,1,GARIS 3,16,1.9,10,1.1,2,1,1,0,6,SHOCK,3,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Sweeps a line of enemies. Applies SHOCK.,8.42,1.05
segelagung,Grand Sigil,Segel,Passive,Arcane,2,HURUF L,0,1,0,0,0,1,1,0,6,,0,1,,0,0,MaxHp+55; Defense+3,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. +55 max HP and +3 defence.,,0
segelamuk,Frenzy Sigil,Segel,Passive,Arcane,1,GARIS 2,0,1,0,0,0,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,FRENZY,,0.35,yes,Tiap musuh mati memberimu satu tumpukan FRENZY (maks 6).,,0
segelarus,Conduit Sigil,Segel,Passive,Arcane,2,KOTAK 2x2,0,1,0,0,0,1,1,0,6,,0,1,,0,0,ManaRegen+5; ManaCostPct+0.15,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. +5 mana per second and -15% mana cost.,,0
segelbara,Ember Sigil,Segel,Passive,Arcane,1,GARIS 2,0,0.05,0,0,0,1,1,0,6,,0,1,,0,0,ManaRegen+3,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,2 long. +3 mana per second. Passive - never fires.,,0
segeldaya,Power Sigil,Segel,Passive,Arcane,2,BENGKOK S,0,1,0,0,0,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,POWER,,0.35,yes,EVOLVED. Tiap musuh mati memberimu satu tumpukan POWER (maks 5).,,0
segelmata,Keen Sigil,Segel,Passive,Arcane,1,TITIK,0,1,0,0,0,1,1,0,6,,0,1,,0,0,CritChance+0.08,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,+8% critical chance. Passive - never fires.,,0
segelnadi,Pulse Sigil,Segel,Passive,Arcane,1,GARIS 2,0,0.05,0,0,0,1,1,0,6,,0,1,,0,0,MaxMana+25,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,2 long. +25 max mana. Passive - never fires.,,0
segelpemurni,Purifier Sigil,Segel,Passive,Arcane,2,HURUF L,0,1,0,0,0,1,1,0,6,,0,1,,0,0,DebuffResist+0.4; HpRegen+2,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Kutukan berakhir 40% lebih cepat, dan kamu pulih perlahan.",,0
segelpenangkal,Ward Sigil,Segel,Passive,Arcane,1,TITIK,0,1,0,0,0,1,1,0,6,,0,1,,0,0,DebuffResist+0.2,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Kutukan yang menempel padamu berakhir 20% lebih cepat.,,0
segelrantai,Chain Sigil,Segel,Passive,Arcane,1,GARIS 2,0,1,0,0,0,1,1,0,6,,0,1,,0,0,AilmentPoints+1,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,+1 ailment point per application. Fills trigger thresholds faster.,,0
segelsumur,Wellspring Sigil,Segel,Passive,Arcane,1,GARIS 2,0,0.05,0,0,0,1,1,0,6,,0,1,,0,0,HpRegen+2.5,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,2 long. +2.5 HP per second. Passive - never fires.,,0
segeltajam,Razor Sigil,Segel,Passive,Arcane,2,KOTAK 2x2,0,1,0,0,0,1,1,0,6,,0,1,,0,0,CritChance+0.15; CritDamage+0.45,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. +15% critical chance and +45% critical damage.,,0
segelvitalitas,Vitality Sigil,Segel,Passive,Arcane,1,GARIS 2,0,0.05,0,0,0,1,1,0,6,,0,1,,0,0,MaxHp+30,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,2 long. +30 max HP. Passive - never fires.,,0
shove,Shove,Skill,ForcePush,Arcane,1,GARIS 3,11,6,4.2,4.2,6,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,15,1.6,9,,,,0.35,yes,Melontarkan semua yang menempel ke luar. Damage-nya kecil — yang kamu beli adalah jarak.,1.83,1
singularity,Singularity,Skill,Zone,Arcane,5,BONGKAH,34,7,12,6,25,1,1,0,6,DRAG,2,2,,0,0,,Cooldown,,10,yes,8,7,0.4,3.4,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Lubang yang MENGEMBARA — dia menyeret gerombolan ke dalam dirinya sambil berjalan sendiri melintasi lapangan.,4.86,3.57
solarflare,Solar Flare,Skill,SunStrike,Fire,5,BLOK 3x3,650,7,17,6.8,25,1,1,0,6,BURN,7,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,1.1,12,1.6,9,,,,0.35,yes,"Langit terbuka. Satu detik penuh aba-aba, lalu seperempat lapangan hangus.",92.86,3.57
sparkbolt,Spark Bolt,Skill,Projectile,Lightning,1,TITIK,26,1,8,0.7,1,1,1,0,0,SHOCK,3,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,The fastest bolt in the book. Applies SHOCK.,26,1
sparkrune,Spark Rune,Rune,AuraOnly,Lightning,1,GARIS 3,0,1,0,0,0,1,1,0,6,,0,1,DamagePct,0.6,0.36,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"3 long base. Damage aura, tuned for lightning.",,0
sparkshards,Spark Shards,Skill,Orbit,Lightning,1,GARIS 3,24,2.6,7,0,3,3,1,0,6,SHOCK,3,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,13,,,,0.35,yes,"Tiga pecahan mengambang di atas kepalamu dan MENUNGGU. Begitu ada yang mendekat, satu meluncur sendiri.",9.23,1.15
staticfield,Static Field,Skill,Nova,Lightning,1,GARIS 2,8,2.4,4.2,4.2,2,1,1,0,6,SHOCK,4,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"Crackles around you. Heavy SHOCK, light damage.",3.33,0.83
steamburst,Steam Burst,Skill,Nova,Fire,2,KOTAK 2x2,18,2.5,5,5,4,1,1,0,6,BURN,4.5,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Scalding burst - fire and ice meeting at once. Fills a 2x2 base.,7.2,1.6
stormbreaker,Stormbreaker,Skill,Chain,Lightning,5,BLOK 3x3,175,4.2,13,12,15,4,8,0,6,SHOCK,6,4,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Delapan cabang petir berangkat sekaligus, tiap cabang melompat empat kali, dan tidak ada dua cabang yang menyambar musuh yang sama.",41.67,3.57
stormcell,Storm Cell,Skill,Zone,Lightning,1,GARIS 2,3,5,10,3,5,1,1,0,6,SHOCK,4,2,,0,0,,Cooldown,,10,yes,8,5,0.5,0,0.9,12,1.6,9,,,,0.35,yes,A crackling patch of ground. Stacks SHOCK on everything inside.,0.6,1
stormshards,Storm Shards,Skill,Orbit,Lightning,3,HURUF Z,160,3.4,9.5,0,8,5,1,0,6,SHOCK,4,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,16,,,,0.35,yes,"Lima pecahan mengambang dan menunggu, dan menjemput dari lebih jauh.",47.06,2.35
sunder,Sunder,Skill,Detonate,Arcane,2,HURUF T,8,3.2,0,3.4,5,1,1,0,6,,0,1,,0,0,,Cooldown,POISON,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Meledakkan SETIAP musuh ber-POISON sebesar poin yang menumpuk padanya, lalu mencabut racunnya. Diam saja kalau tidak ada yang ditandai.",2.5,1.56
