sep=,
"Bintang","Petak","Layer","Elemen","Bentuk","Nama","Id","FileIkon","Status","Selesai","Kind","Deskripsi","Prompt","PathIkon"
"1","2","Segel","Arcane","Line2","Frenzy Sigil","segelamuk","Icon_segelamuk.png","placeholder","","Passive","Tiap musuh mati memberimu satu tumpukan FRENZY (maks 6).","a round wax seal stamped with a snarling symmetrical boar skull glyph, tusks curling up both sides in mirror image, flat heraldic stamp with a single toothed ring border, pale violet #B478FF glyph pressed into deep arcane purple #2A1147, a static emblem with no motion lines and no energy, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_segelamuk.png"
"1","2","Segel","Arcane","Line2","Pulse Sigil","segelnadi","Icon_segelnadi.png","placeholder","","Passive","2 long. +25 max mana. Passive - never fires.","a round wax seal stamped with a fat vertical droplet flanked by two mirrored branching veins, symmetrical like an anatomical heraldic charge, single carved ring border, glyph in soft violet #B478FF on deep arcane purple #2A1147, flat and still with no ripples and no motion, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_segelnadi.png"
"1","2","Segel","Arcane","Line2","Vitality Sigil","segelvitalitas","Icon_segelvitalitas.png","placeholder","","Passive","2 long. +30 max HP. Passive - never fires.","a round wax seal stamped with a stout bold heraldic heart, simple and thick, single carved ring border, heart in warm violet #B478FF on deep arcane purple #2A1147, a flat perfectly symmetrical stamp, calm and static with no beat lines and no motion, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_segelvitalitas.png"
"1","2","Segel","Arcane","Line2","Wellspring Sigil","segelsumur","Icon_segelsumur.png","placeholder","","Passive","2 long. +2.5 HP per second. Passive - never fires.","a round wax seal stamped with a front-facing stone well mouth beneath a symmetrical arch, three still concentric rings of water resting inside the well, flat heraldic stamp with a single ring border, glyph in soft violet #B478FF on deep arcane purple #2A1147, calm and static with no splashing and no motion, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_segelsumur.png"
"1","2","Skill","Arcane","Line2","Blink Step","blinkstep","Icon_blinkstep.png","placeholder","","?13","Melompat 7 unit menjauh dari kerumunan terpadat. Diam saja kalau tidak ada","A single boot mid-stride dissolving into three fading afterimage copies trailing behind it, small sparkle motes where the body vanished. Arcane palette: bright violet #B478FF boot with dimmer violet afterimages on deep void purple #2A1147. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_blinkstep.png"
"1","2","Skill","Arcane","Line2","Cleansing Light","cahayapembersih","Icon_cahayapembersih.png","placeholder","","Cleanse","Membuang SEMUA kutukan sekaligus. Diam saja kalau tidak ada yang perlu dibuang.","A soft upward beam of light dissolving three broken shackle links that flake away into ash at its edges, gentle rounded rays, no sharp points. Calm and non-aggressive. Arcane palette: pale violet-white #B478FF beam on deep void purple #2A1147, parchment #E8D9B0 core glow. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_cahayapembersih.png"
"1","2","Skill","Arcane","Line2","Fleetfoot","quickfoot","Icon_quickfoot.png","placeholder","","?15","Kecepatan menghindar naik drastis selama 5 detik.","A single light winged boot kicked up mid-sprint, two small feather wings at the ankle, three long horizontal speed streaks trailing behind the heel. Arcane palette: bright violet #B478FF boot on deep void purple #2A1147, gold accent #D9A441 wings. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_quickfoot.png"
"1","2","Skill","Arcane","Line2","Lesser Ward","wardpetty","Icon_wardpetty.png","placeholder","","?14","Perisai menyerap 38 damage selama 8 detik. Menolak dipasang ulang selama","A small round wooden buckler with a single iron rim and center stud, a thin veil of soft glow hugging its face. Modest, plain, calm, clearly the humblest shield in the set. Arcane palette: dim violet #B478FF glow on deep void purple #2A1147, ink #14100C wood grain. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_wardpetty.png"
"1","2","Skill","Arcane","Line2","Plague Brand","plaguebrand","Icon_plaguebrand.png","placeholder","","AreaAtTarget","'Nyaris tidak melukai. Ia MENANDAI: POISON 3 poin ke gerombolan lebar. Nilainya","A glowing branding-iron mark burned into flat dark flesh, the mark an abstract three-pronged claw glyph, thick drips of luminous venom running down from its lower edge. Arcane palette: bright violet #B478FF glyph and drips on deep void purple #2A1147. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_plaguebrand.png"
"1","2","Skill","Arcane","Line2","Rift Chain","riftchain","Icon_riftchain.png","placeholder","","Chain","Tears from enemy to enemy. Applies BLEED.","Three jagged tears in space linked by a zigzag arc of energy jumping between them, each tear a torn slit leaking light, the arc thickest at the first tear. Arcane palette: bright violet #B478FF arc and slit-glow on deep void purple #2A1147, ink #14100C tear interiors. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_riftchain.png"
"1","2","Skill","Arcane","Line2","Whirling Blade","belatiberputar","Icon_belatiberputar.png","placeholder","","Radial","""Melempar lima belati ke segala arah sekaligus. Tidak membidik \u2014 dia","Five slender curved daggers arranged in a perfect pinwheel, points facing outward in all directions, thin motion arcs suggesting spin, a single drop of dark blood flying off one blade tip. Arcane palette: bright violet #B478FF blades on deep void purple #2A1147, ink #14100C blood drop. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_belatiberputar.png"
"1","2","Skill","Fire","Line2","Cinder Patch","cinderpatch","Icon_cinderpatch.png","placeholder","","Zone","Leaves smouldering ground. Cheap, constant BURN.","a small ragged patch of scorched ground seen at a slight angle, cracked black crust split by glowing veins, two fat embers resting on top with thin smoke wisps, bright orange #FF6A26 ember glow over deep ember red #7A1F0B crust, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_cinderpatch.png"
"1","2","Skill","Fire","Line2","Ember Burst","emberburst","Icon_emberburst.png","placeholder","","Nova","Bursts into flame around you. Applies BURN.","a single ring of flame bursting outward from a bright central spark, tongues of fire pointing away from the center like a simple sunburst, a few loose embers flung past the ring edge, bright orange #FF6A26 flames over deep ember red #7A1F0B core shadow, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_emberburst.png"
"1","2","Skill","Fire","Line2","Fire Rain","hujanapi","Icon_hujanapi.png","placeholder","","AreaAtTarget","Rains fire onto the densest pack. Applies BURN.","three fat drops of fire falling from a low dark storm cloud, each drop a teardrop flame with a short streak line above it, the middle drop largest, bright orange #FF6A26 drops under a deep ember red #7A1F0B cloud, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_hujanapi.png"
"1","2","Skill","Fire","Line2","Flame Lash","flamelash","Icon_flamelash.png","placeholder","","Line","Whips a line of fire outward. Applies BURN.","a cracking whip made of pure flame, a single bold S-curve lash snapping to the upper right with a forked burning tip, sparks flying off the crack point, bright orange #FF6A26 whip over deep ember red #7A1F0B inner curve, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_flamelash.png"
"1","2","Skill","Ice","Line2","Hailstorm","hailstorm","Icon_hailstorm.png","placeholder","","AreaAtTarget","Falls on the densest pack. Applies CHILL.","three fat round hailstones plunging steeply downward with short straight fall-streaks above them, the lowest stone cracking against a small shattered impact chip at the bottom, milky ice #6FD6FF stones with deep teal #123A52 undersides and white streak highlights, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_hailstorm.png"
"1","2","Skill","Lightning","Line2","Static Field","staticfield","Icon_staticfield.png","placeholder","","Nova","Crackles around you. Heavy SHOCK, light damage.","A jagged crackling halo ring seen slightly from above, a thick circular band with short fat lightning spurs sticking outward at four points, surrounding a small dark hooded figure silhouette at its center, ring in bright golden yellow #FFD84D, figure and ground shadow in storm umber #4A3A00 and ink #14100C, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_staticfield.png"
"1","2","Skill","Lightning","Line2","Storm Cell","stormcell","Icon_stormcell.png","placeholder","","Zone","A crackling patch of ground. Stacks SHOCK on everything inside.","A cracked circular patch of dark ground seen at a low angle, its fissures glowing and three short fat lightning arcs standing upright out of the cracks like grass, ground disc in storm umber #4A3A00 and ink #14100C, arcs and crack glow in bright golden yellow #FFD84D, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_stormcell.png"
"1","3","Rune","Arcane","Line3","Chrono Rune","chronorune","Icon_chronorune.png","placeholder","","Line","'3 panjang. Tiap petak skill di atasnya: cooldown -12%.'","A long weathered stone tablet strip engraved with three interlocking hourglass glyphs in a row, sand frozen mid-fall inside each carved hourglass, a dark calm carved base tile with shallow grooves and low contrast on purpose, deep arcane stone in #2A1147 with only a faint dim glow of #B478FF seeping from the engraved lines, ink-dark shadows in #14100C, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_chronorune.png"
"1","3","Rune","Lightning","Line3","Spark Rune","sparkrune","Icon_sparkrune.png","placeholder","","AuraOnly","3 long base. Damage aura, tuned for lightning.","A long strip of aged darkened vellum inked with three small diamond-shaped spark glyphs chained in a row by a single thin line, tiny pinprick glints of static resting quietly in each diamond, a dark calm inked base tile with low contrast on purpose, ochre-dark vellum in #4A3A00 inked with #14100C and only faint pinpoints of #FFD84D in the glyph centers, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_sparkrune.png"
"1","3","Skill","Arcane","Corner","Poison Pool","kubanganracun","Icon_kubanganracun.png","placeholder","","Zone","Leaves a lingering pool. Applies POISON.","A flat wide puddle with an uneven dripping edge, three fat round bubbles rising off its surface, one bubble mid-pop, viscous and sluggish. Arcane palette: bright sickly violet #B478FF liquid on deep void purple #2A1147, ink #14100C puddle rim. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_kubanganracun.png"
"1","3","Skill","Arcane","Line3","Shove","shove","Icon_shove.png","placeholder","","?20","""Melontarkan semua yang menempel ke luar. Damage-nya kecil \u2014 yang kamu","A large open palm facing outward with three thick concentric shockwave arcs pushing away from it, two small tumbling silhouettes flung off the outermost arc. Arcane palette: bright violet #B478FF palm and arcs on deep void purple #2A1147. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_shove.png"
"1","3","Skill","Arcane","Line3","Vortex","pusaran","Icon_pusaran.png","placeholder","","AreaAtTarget","Drags enemies together. Applies DRAG - the setup for mass reactions.","A tight spiral of three thick curved wind-blades sweeping inward toward a small bright eye at center, two tiny stick-like debris fragments caught mid-drag along the spiral arms. Arcane palette: bright violet #B478FF spiral arms on deep void purple #2A1147. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_pusaran.png"
"1","3","Skill","Ice","Corner","Frost Nova","frostnova","Icon_frostnova.png","placeholder","","Nova","Freezing burst centred on you. Applies CHILL.","a single clean ring of outward-pointing hoarfrost spikes surrounding a small bright frozen core, the burst seen flat-on like a crown of ice viewed from above, pale ice #6FD6FF spikes over a deep teal #123A52 ring shadow, white flash at the core, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_frostnova.png"
"1","3","Skill","Ice","Corner","Ice Lance","icelance","Icon_icelance.png","placeholder","","Line","Skewers everything in a line. Applies CHILL.","one long thin lance of solid ice crossing the frame diagonally from lower left to upper right, needle point leading, a straight frozen wake line behind it emphasizing a piercing path, glassy pale ice #6FD6FF shaft with deep teal #123A52 core shadow and a white edge glint along the point, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_icelance.png"
"1","3","Skill","Lightning","Corner","Arc Bolt","arcbolt","Icon_arcbolt.png","placeholder","","Chain","Leaps from enemy to enemy. Applies SHOCK.","One thick zigzag lightning bolt leaping in an arc between two small round dark orbs, the bolt drawn as a single wide angular ribbon with only three bends, orbs in storm umber #4A3A00, bolt in bright golden yellow #FFD84D with a small spark burst where it strikes the second orb, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_arcbolt.png"
"1","3","Skill","Lightning","Line3","Lightning Slash","sabetanpetir","Icon_sabetanpetir.png","placeholder","","Line","Sweeps a line of enemies. Applies SHOCK.","A broad crescent sword-swipe made of solid lightning, a wide curved slash arc with a jagged sawtooth trailing edge, sweeping left to right in one confident stroke, bright golden yellow #FFD84D blade edge over a deep storm umber #4A3A00 inner arc, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_sabetanpetir.png"
"1","3","Skill","Lightning","Line3","Spark Shards","sparkshards","Icon_sparkshards.png","placeholder","","?12","Tiga pecahan mengambang di atas kepalamu dan MENUNGGU. Begitu ada yang mendekat,","Three fat angular crystal shards hovering in a triangle formation, each shard a chunky faceted diamond crackling with one short thick lightning arc jumping between neighbours, shards in bright golden yellow #FFD84D with storm umber #4A3A00 facet shadows, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_sparkshards.png"
"1","4","Rune","Fire","Square","Ember Rune","emberrune","Icon_emberrune.png","placeholder","","Line","'2x2. Tiap petak skill di atasnya: +20% damage.'","A square slab of cracked black basalt divided into four quadrants by deep scored lines, a crossed ember sigil carved at the center, dull embers smoldering low inside the cracks, a dark calm carved base tile with low contrast on purpose, charred stone in #7A1F0B with muted smolder highlights of #FF6A26 kept dim and buried in the grooves, shadows in #14100C, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_emberrune.png"
"1","4","Rune","Ice","Square","Frost Rune","frostrune","Icon_frostrune.png","placeholder","","AuraOnly","2x2 base. Damage aura, and ice skills on top of it hit harder still.","A square slate tile rimed with hoarfrost, a simple six-armed snowflake cross carved into its face, pale frost dust settled inside the engraved channels, a dark calm carved base tile with low contrast on purpose, deep ice slate in #123A52 with muted frost lines of #6FD6FF kept faint and cold, shadows in #14100C, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_frostrune.png"
"1","9","Rune","Arcane","Big3","Plain Rune","plainrune","Icon_plainrune.png","placeholder","","Line","3x3. Alas polos tanpa buff, tapi luas banget.","A broad flat stone slab chiseled with a shallow nine-square grid, a single plain empty circle scratched at the center cell, deliberately humble and unadorned, the most muted tile of the set, a dark calm carved base tile with very low contrast on purpose, dusty arcane stone in #2A1147 with only the barest trace of #B478FF in the grid grooves, shadows in #14100C, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_plainrune.png"
